msl_height_m,z_factor,area_m2,volume_m3
484.84,1,216869.08641979,377238.43371582
484.83,1,216661.77375846,375070.8409113
484.82,1,216453.96115962,372905.31290225
484.81,1,216243.45272104,370741.87834759
484.8,1,216000.91047912,368580.60581832
484.79,1,215499.75496814,366424.12524031
484.78,1,215238.24718377,364270.44385778
484.77,1,214978.94443694,362119.38084549
484.76,1,214720.10216252,359970.89538057
484.75,1,214461.12977484,357825.02183811
484.74,1,214201.86222807,355681.69250841
484.73,1,213942.30910686,353540.97719091
484.72,1,213682.51451478,351402.86999171
484.71,1,213422.4174249,349267.38350873
484.7,1,213161.97080817,347134.4554063
484.69,1,212901.18733815,345004.17960521
484.68,1,212639.8839724,342876.50871814
484.67,1,212378.27835419,340751.46455478
484.66,1,212116.13510105,338629.02949371
484.65,1,211853.34009149,336509.21255175
484.64,1,211589.68934559,334392.01495115
